STT,Hãng xe,Dòng xe,Năm sản xuất,Số km đã chạy,Tình trạng xe,đã phụ tùng chưa thay,Khu vực bán,Giá bán
153,Honda,Sonic,2020,4500,8.5,chưa thay,Tp Hồ Chí Minh,29.800.000.00
154,Honda,Sonic,2022,35000,7.5,chưa thay,Tp Hồ Chí Minh,20.500.000.00
155,Honda,Sonic,2020,8600,8,chưa thay,Tp Hồ Chí Minh,20.900.000.00
156,Honda,Sonic,2021,30000,7.5,chưa thay,Tp Hồ Chí Minh,19.800.000.00
157,Honda,Sonic,2021,20000,9,chưa thay,Tp Hồ Chí Minh,22.999.000.00
158,Honda,Sonic,2021,10,9.5,chưa thay,Tp Hồ Chí Minh,22.500.000.00
159,Honda,Sonic,2022,2000,9,chưa thay,Tp Hồ Chí Minh,36.500.000.00
160,Honda,Sonic,2021,10,9.5,chưa thay,Tp Hồ Chí Minh,19.500.000.00
161,Honda,Sonic,2021,16000,8,chưa thay,Tp Hồ Chí Minh,26.800.000.00
162,Honda,Sonic,2020,10,9,chưa thay,Tp Hồ Chí Minh,22.500.000.00
163,Honda,Sonic,2021,12000,8,chưa thay,Tp Hồ Chí Minh,37.000.000.00
164,Honda,Sonic,2024,9000,9.5,chưa thay,Tp Hồ Chí Minh,33.999.000.00
165,Honda,Sonic,2022,9,9,chưa thay,Tp Hồ Chí Minh,22.800.000.00
166,Honda,Sonic,2023,15000,9.5,chưa thay,Tp Hồ Chí Minh,28.999.000.00
167,Honda,Sonic,2020,20000,8.5,chưa thay,Tp Hồ Chí Minh,21.999.000.00
168,Honda,Sonic,2018,53760,8,chưa thay,Tp Hồ Chí Minh,13.300.000.00
169,Honda,Sonic,2020,1,10,chưa thay,Tp Hồ Chí Minh,26.500.000.00
170,Honda,Sonic,2019,26000,8,chưa thay,Tp Hồ Chí Minh,18.800.000.00
171,Honda,Sonic,2020,32139,8.5,chưa thay,Tp Hồ Chí Minh,23.000.000.00
172,Honda,Sonic,2020,1,10,chưa thay,Tp Hồ Chí Minh,23.500.000.00
173,Honda,Sonic,2018,36979,7.5,chưa thay,Tp Hồ Chí Minh,17.500.000.00
174,Honda,Sonic,2020,22000,7,chưa thay,Tp Hồ Chí Minh,17.500.000.00
175,Honda,Sonic,2019,5500,9,chưa thay,Tp Hồ Chí Minh,19.500.000.00
176,Kawasaki,W175,2019,19000,8,chưa thay,Tp Hồ Chí Minh,39.500.000.00
177,Kawasaki,Ninja,2017,1234,7,chưa thay,Tp Hồ Chí Minh,48.800.000.00
178,Kawasaki,W175,2018,37000,6,chưa thay,Tp Hồ Chí Minh,33.500.000.00
179,Kawasaki,Ninja,2017,123,"8,5",chưa thay,Tp Hồ Chí Minh,56.000.000.00
180,Kawasaki,Boss,2008,13000,7,chưa thay,Tp Hồ Chí Minh,36.000.000.00
181,Kawasaki,W175,2024,1600,8,chưa thay,Tp Hồ Chí Minh,59.800.000.00
182,Kawasaki,Z400,2022,15000,"7,5",chưa thay,Tp Hồ Chí Minh,89.000.000.00
183,Kawasaki,Z1000,2010,10000,"6,5",đã thay,Tp Hồ Chí Minh,35.000.000.00
184,Kawasaki,Z800,2015,26000,7,chưa thay,Tp Hồ Chí Minh,108.800.000.00
185,Kawasaki,Ninja,2016,20000,7,đã thay,Hà Nội ,55.500.000.00
186,Kawasaki,Ninja,2018,15000,"7,5",đã thay,Hà Nội ,39.000.000.00
187,Kawasaki,Z800,2018,27000,8,đã thay,Hà Nội ,70.000.000.00
188,Kawasaki,Z801,2017,20000,"7,5",đã thay,Hà Nội ,78.978.900.00
